갱신청구권사용여부,단지명,법정동,보증금액,건축년도,월세금,전용면적,지번,지역코드,층,해제여부,해제사유발생일,년,월,일
,아이파크,역삼동,"3,765",1981,78,94.59,899,11680,33,,,2024,3,9
X,래미안,삼성동,"73,071",2015,0,132.86,433,11680,25,,,2024,1,19
,강남_1차_아파트,청담동,"52,126",2010,0,86.08,219,11680,32,,,2024,1,3
,아이파크,역삼동,"78,635",2011,0,81.93,678,11680,42,,,2024,3,20
O,강남_5차_아파트,역삼동,"95,811",1998,0,124.55,909,11680,35,,,2024,3,17
X,강남_6차_아파트,청담동,"1,591",1989,237,125.1,373,11680,42,O,20240321,2024,3,21
,강남_1차_아파트,압구정동,"4,914",1996,138,64.34,731,11680,33,O,20240109,2024,1,9
O,강남_7차_아파트,삼성동,"78,723",2005,0,136.67,231,11680,5,,,2024,2,5
O,강남_8차_아파트,청담동,"82,565",1981,0,102.51,855,11680,40,,,2024,2,3
O,강남_3차_아파트,청담동,"107,690",2011,0,72.96,795,11680,24,,,2024,2,21
X,강남_1차_아파트,대치동,"54,038",2007,0,75.59,985,11680,21,,,2024,2,18
,강남_8차_아파트,삼성동,"146,280",1990,0,60.04,177,11680,11,,,2024,2,4
X,강남_5차_아파트,청담동,"134,109",2018,0,80.56,937,11680,9,,,2024,1,23
O,강남_3차_아파트,역삼동,"90,642",2016,0,81.46,253,11680,27,,,2024,3,11
X,아이파크,압구정동,"125,260",2005,0,142.0,387,11680,31,,,2024,1,25
,강남_9차_아파트,삼성동,"101,894",2019,0,126.9,592,11680,28,,,2024,3,21
,강남_3차_아파트,압구정동,"3,799",1992,245,143.86,938,11680,29,,,2024,2,7
X,강남_5차_아파트,압구정동,"3,750",2002,296,140.43,332,11680,40,,,2024,2,5
X,강남_9차_아파트,대치동,"118,578",1982,0,70.9,126,11680,3,O,20240206,2024,2,6
O,강남_1차_아파트,삼성동,"76,093",1987,0,113.73,400,11680,41,,,2024,1,25
,강남_8차_아파트,삼성동,"126,527",1981,0,108.33,699,11680,17,,,2024,2,3
,래미안,삼성동,"89,302",2002,0,51.83,345,11680,44,,,2024,3,19
,타워팰리스,삼성동,"4,462",2016,210,114.74,184,11680,12,,,2024,1,18
X,강남_1차_아파트,대치동,"62,866",2012,0,127.47,182,11680,32,,,2024,3,14
X,강남_8차_아파트,대치동,"110,843",2024,0,67.24,529,11680,16,,,2024,3,14
O,강남_3차_아파트,삼성동,"1,966",1992,111,127.78,366,11680,33,,,2024,2,14
X,강남_3차_아파트,역삼동,"38,184",2010,0,109.71,472,11680,34,,,2024,2,4
X,강남_5차_아파트,역삼동,"49,734",1984,0,71.74,370,11680,22,,,2024,3,11
O,강남_8차_아파트,역삼동,"4,883",2010,245,129.2,930,11680,17,,,2024,1,1
O,강남_3차_아파트,역삼동,"1,445",2018,240,62.35,464,11680,22,O,20240106,2024,1,6
,강남_4차_아파트,대치동,"3,003",2004,193,61.94,662,11680,23,,,2024,1,21
,강남_5차_아파트,청담동,"4,159",1997,144,130.52,210,11680,38,,,2024,2,11
X,강남_9차_아파트,삼성동,"54,673",2002,0,124.7,999,11680,36,,,2024,3,14
X,래미안,청담동,"97,421",2007,0,95.97,859,11680,24,,,2024,1,16
O,강남_1차_아파트,역삼동,"90,527",2016,0,86.01,635,11680,44,,,2024,2,14
,타워팰리스,역삼동,"3,483",1990,125,96.48,817,11680,23,,,2024,3,2
X,강남_5차_아파트,역삼동,"143,320",1984,0,76.67,310,11680,44,,,2024,2,16
X,강남_1차_아파트,삼성동,"2,090",2017,209,57.37,670,11680,27,,,2024,3,2
,강남_1차_아파트,압구정동,"49,165",1983,0,85.95,430,11680,40,,,2024,3,4
O,아이파크,청담동,"1,789",2016,131,58.58,729,11680,43,,,2024,1,19
,강남_8차_아파트,압구정동,"31,899",1994,0,133.98,959,11680,32,,,2024,3,16
O,강남_7차_아파트,대치동,"53,313",1981,0,58.9,757,11680,38,,,2024,3,27
X,강남_6차_아파트,역삼동,"102,439",2014,0,66.17,749,11680,42,,,2024,3,3
,강남_6차_아파트,청담동,"83,770",1993,0,103.21,472,11680,9,,,2024,2,26
,강남_4차_아파트,청담동,"84,448",2002,0,95.13,660,11680,42,,,2024,3,8
,강남_2차_아파트,삼성동,"67,997",2023,0,119.27,861,11680,34,,,2024,1,1
X,강남_4차_아파트,대치동,"149,649",2016,0,149.56,445,11680,34,,,2024,3,23
,래미안,청담동,"135,597",1983,0,60.5,264,11680,20,,,2024,2,6
O,아이파크,역삼동,"146,748",2006,0,121.98,850,11680,11,,,2024,3,3
,강남_2차_아파트,청담동,"124,784",2006,0,89.84,906,11680,7,,,2024,1,22
X,강남_7차_아파트,청담동,"74,603",1989,0,85.24,420,11680,5,,,2024,2,7
X,강남_5차_아파트,청담동,"4,865",2016,73,128.56,232,11680,44,,,2024,1,12
,강남_3차_아파트,압구정동,"2,402",2006,292,137.39,616,11680,32,O,20240122,2024,1,22
X,타워팰리스,역삼동,"48,965",2020,0,87.65,245,11680,22,,,2024,3,22
,강남_6차_아파트,청담동,"3,596",2017,153,146.34,107,11680,42,,,2024,1,1
O,강남_7차_아파트,청담동,"113,739",1991,0,101.98,757,11680,20,,,2024,2,22
,강남_2차_아파트,역삼동,"122,880",2009,0,89.42,801,11680,45,,,2024,3,9
X,강남_9차_아파트,청담동,"1,845",1991,108,120.72,729,11680,4,,,2024,1,15
,강남_9차_아파트,삼성동,"4,230",2004,101,140.4,612,11680,38,,,2024,2,14
,강남_6차_아파트,역삼동,"3,901",1997,73,98.69,795,11680,13,O,20240109,2024,1,9
O,강남_5차_아파트,삼성동,"101,554",1990,0,79.4,361,11680,14,O,20240321,2024,3,21
,강남_5차_아파트,압구정동,"4,105",1985,185,84.69,577,11680,7,,,2024,1,13
,강남_3차_아파트,삼성동,"45,554",2009,0,145.02,106,11680,39,,,2024,1,23
O,강남_1차_아파트,삼성동,"70,214",2005,0,122.79,957,11680,1,,,2024,2,9
O,강남_2차_아파트,청담동,"79,703",2019,0,139.22,764,11680,42,,,2024,1,13
O,강남_5차_아파트,청담동,"108,956",1981,0,74.03,423,11680,35,,,2024,1,19
,아이파크,삼성동,"2,040",1982,172,146.39,845,11680,8,,,2024,2,6
,래미안,청담동,"147,529",1981,0,60.0,504,11680,10,,,2024,3,8
O,강남_4차_아파트,대치동,"56,224",1990,0,92.5,293,11680,45,,,2024,3,12
,강남_9차_아파트,압구정동,"50,277",2013,0,87.14,233,11680,14,,,2024,3,24
X,강남_9차_아파트,압구정동,"138,257",1982,0,59.15,601,11680,14,,,2024,1,12
O,타워팰리스,삼성동,"113,151",1995,0,97.93,882,11680,37,,,2024,1,26
X,강남_1차_아파트,대치동,"70,029",2009,0,84.56,503,11680,11,,,2024,2,9
,강남_1차_아파트,삼성동,"51,716",2004,0,92.38,278,11680,39,,,2024,2,1
X,강남_2차_아파트,역삼동,"37,149",2014,0,63.89,967,11680,30,,,2024,1,27
,래미안,압구정동,"43,375",2003,0,66.45,932,11680,43,,,2024,2,9
X,강남_9차_아파트,삼성동,"3,654",2018,161,143.94,304,11680,18,,,2024,3,1
X,강남_7차_아파트,역삼동,"1,114",2011,233,129.27,182,11680,42,,,2024,1,5
X,강남_5차_아파트,대치동,"3,931",2008,104,51.64,476,11680,9,,,2024,2,15
X,강남_3차_아파트,압구정동,"60,060",2009,0,93.33,454,11680,10,,,2024,3,7
X,타워팰리스,역삼동,"72,179",1980,0,74.88,253,11680,35,,,2024,3,16
X,강남_9차_아파트,압구정동,"69,145",2000,0,128.69,706,11680,6,,,2024,3,26
,아이파크,압구정동,"4,961",2011,164,80.07,419,11680,10,,,2024,2,20
,강남_1차_아파트,압구정동,"34,170",1983,0,88.21,560,11680,14,,,2024,1,16
O,타워팰리스,압구정동,"94,299",2024,0,137.14,802,11680,22,,,2024,3,10
,래미안,청담동,"3,440",2004,257,64.42,940,11680,16,,,2024,2,6
O,강남_4차_아파트,청담동,"4,509",1991,289,118.14,733,11680,28,,,2024,1,8
,강남_1차_아파트,역삼동,"137,373",2004,0,64.91,848,11680,1,,,2024,2,5
O,강남_3차_아파트,청담동,"126,042",1985,0,70.84,806,11680,10,,,2024,1,26
O,강남_9차_아파트,역삼동,"88,030",2005,0,145.63,317,11680,26,,,2024,2,9
X,강남_6차_아파트,삼성동,"95,997",1998,0,94.51,747,11680,33,,,2024,2,27
X,강남_2차_아파트,역삼동,"123,065",2018,0,118.73,694,11680,18,,,2024,2,28
,강남_2차_아파트,삼성동,"1,278",1991,65,56.51,900,11680,21,,,2024,2,17
X,아이파크,청담동,"2,202",2017,287,69.17,474,11680,30,,,2024,3,4
O,강남_9차_아파트,역삼동,"135,431",1988,0,146.79,455,11680,11,,,2024,3,23
,래미안,역삼동,"110,610",2017,0,59.62,167,11680,5,,,2024,2,10
X,강남_5차_아파트,역삼동,"1,394",2006,131,83.21,113,11680,31,,,2024,1,1
,래미안,역삼동,"133,902",2011,0,115.91,939,11680,24,,,2024,2,28
,강남_7차_아파트,역삼동,"2,080",1995,95,91.99,637,11680,24,,,2024,3,18
,강남_5차_아파트,역삼동,"40,288",1985,0,87.07,336,11680,43,,,2024,1,6
,래미안,압구정동,"118,860",1998,0,91.06,610,11680,13,,,2024,2,2
X,래미안,대치동,"113,091",1996,0,117.61,690,11680,33,,,2024,1,22
O,강남_2차_아파트,삼성동,"73,206",2019,0,58.89,400,11680,9,,,2024,2,25
O,강남_2차_아파트,대치동,"51,540",2005,0,82.47,282,11680,32,,,2024,1,19
O,강남_8차_아파트,대치동,"143,082",2015,0,143.64,222,11680,2,,,2024,3,18
,강남_3차_아파트,대치동,"35,145",2001,0,53.54,913,11680,14,,,2024,2,15
X,래미안,청담동,"112,340",2007,0,92.89,880,11680,19,,,2024,3,23
X,강남_7차_아파트,역삼동,"135,299",2013,0,54.17,354,11680,27,,,2024,1,2
X,강남_8차_아파트,역삼동,"146,091",2018,0,129.92,276,11680,1,,,2024,1,15
O,강남_9차_아파트,역삼동,"46,615",1990,0,137.84,918,11680,33,,,2024,3,6
X,강남_4차_아파트,대치동,"99,816",1996,0,90.98,887,11680,40,,,2024,1,17
,강남_3차_아파트,압구정동,"137,775",2020,0,118.82,529,11680,43,,,2024,1,24
,래미안,압구정동,"3,201",1988,87,122.42,733,11680,31,,,2024,3,13
,강남_9차_아파트,역삼동,"58,083",1988,0,135.15,219,11680,30,,,2024,1,19
,강남_6차_아파트,압구정동,"149,183",1986,0,141.06,886,11680,30,,,2024,3,8
X,강남_2차_아파트,청담동,"141,872",2003,0,142.41,977,11680,19,,,2024,3,3
X,강남_8차_아파트,압구정동,"73,202",1983,0,70.97,408,11680,44,,,2024,1,1
X,강남_7차_아파트,대치동,"67,238",2005,0,75.04,632,11680,17,,,2024,3,17
X,강남_4차_아파트,대치동,"66,885",1983,0,51.2,995,11680,44,,,2024,3,19
,강남_1차_아파트,청담동,"37,586",1983,0,111.46,244,11680,9,,,2024,1,24
,래미안,삼성동,"51,383",2013,0,123.92,163,11680,33,,,2024,2,22
O,강남_1차_아파트,역삼동,"142,451",2015,0,58.81,260,11680,40,,,2024,2,10
,강남_3차_아파트,압구정동,"149,489",2004,0,131.33,323,11680,22,O,20240128,2024,1,28
X,강남_4차_아파트,압구정동,"136,090",1985,0,52.55,842,11680,13,,,2024,2,19
,래미안,삼성동,"1,308",2017,226,73.99,952,11680,29,O,20240214,2024,2,14
,강남_7차_아파트,삼성동,"3,447",1988,110,110.51,178,11680,2,O,20240105,2024,1,5
O,강남_3차_아파트,압구정동,"61,544",2020,0,93.35,329,11680,21,,,2024,2,20
,강남_4차_아파트,역삼동,"56,768",2012,0,136.88,295,11680,15,,,2024,1,1
O,강남_9차_아파트,삼성동,"3,708",1985,295,63.41,236,11680,5,,,2024,3,2
X,강남_6차_아파트,역삼동,"4,894",2000,260,87.22,746,11680,2,,,2024,1,7
,강남_8차_아파트,삼성동,"45,278",2002,0,144.92,701,11680,32,,,2024,3,6
,강남_5차_아파트,청담동,"4,851",2024,218,107.09,795,11680,2,,,2024,2,16
X,강남_4차_아파트,압구정동,"3,250",1993,175,114.67,142,11680,37,O,20240215,2024,2,15
X,강남_2차_아파트,청담동,"41,991",1986,0,91.18,494,11680,44,,,2024,2,8
,아이파크,압구정동,"96,304",1996,0,133.95,156,11680,31,O,20240313,2024,3,13
O,강남_9차_아파트,청담동,"3,973",2003,93,147.97,901,11680,35,,,2024,2,25
X,강남_5차_아파트,대치동,"83,485",1990,0,93.46,469,11680,2,,,2024,1,18
X,강남_2차_아파트,대치동,"75,673",2002,0,96.1,717,11680,15,,,2024,3,18
X,강남_9차_아파트,압구정동,"94,715",2012,0,95.52,543,11680,38,,,2024,3,18
O,강남_5차_아파트,압구정동,"114,470",2006,0,113.93,581,11680,36,,,2024,1,28
O,강남_7차_아파트,역삼동,"53,788",2002,0,126.9,756,11680,33,,,2024,2,3
,래미안,대치동,"31,632",2002,0,88.94,627,11680,45,,,2024,2,23
O,강남_7차_아파트,역삼동,"2,266",2023,256,83.37,475,11680,33,,,2024,2,22
,래미안,삼성동,"37,910",2002,0,139.93,369,11680,17,,,2024,1,16
,강남_3차_아파트,삼성동,"4,937",1987,217,137.85,233,11680,16,,,2024,3,11
O,강남_8차_아파트,청담동,"49,815",1995,0,60.97,107,11680,22,,,2024,3,27
O,강남_9차_아파트,청담동,"105,579",1995,0,146.49,372,11680,11,,,2024,2,7
O,강남_2차_아파트,삼성동,"48,475",2016,0,81.89,135,11680,2,,,2024,3,1
X,강남_3차_아파트,역삼동,"3,695",1996,167,99.11,819,11680,33,,,2024,2,15
,강남_1차_아파트,청담동,"69,839",2001,0,92.88,681,11680,31,,,2024,1,2
,강남_9차_아파트,압구정동,"94,286",2014,0,147.82,522,11680,42,,,2024,2,18
,강남_9차_아파트,대치동,"3,740",2019,104,98.01,641,11680,19,,,2024,3,3
,강남_6차_아파트,대치동,"121,866",2015,0,93.41,478,11680,39,,,2024,1,5
X,타워팰리스,압구정동,"57,183",2004,0,110.73,660,11680,34,,,2024,3,6
X,강남_5차_아파트,대치동,"36,568",2014,0,122.08,764,11680,5,,,2024,2,1
O,래미안,역삼동,"43,275",2003,0,117.48,626,11680,16,,,2024,3,9
,강남_1차_아파트,삼성동,"77,026",2016,0,121.51,749,11680,28,,,2024,3,5
X,타워팰리스,역삼동,"110,151",1996,0,119.07,241,11680,42,,,2024,3,25
,강남_6차_아파트,삼성동,"1,820",1988,177,75.51,738,11680,18,,,2024,1,11
,강남_4차_아파트,청담동,"3,972",1981,80,121.01,728,11680,20,,,2024,1,18
X,강남_6차_아파트,청담동,"4,145",1986,112,120.84,498,11680,37,,,2024,1,16
,강남_7차_아파트,삼성동,"98,187",2000,0,110.69,523,11680,37,,,2024,2,9
O,강남_4차_아파트,삼성동,"54,561",1992,0,58.54,178,11680,18,,,2024,1,4
,아이파크,대치동,"1,450",1999,76,74.6,843,11680,12,,,2024,2,28
O,강남_6차_아파트,청담동,"139,901",1998,0,119.7,913,11680,12,,,2024,1,9
X,강남_6차_아파트,삼성동,"134,977",2003,0,127.64,770,11680,2,,,2024,1,6
,강남_4차_아파트,역삼동,"33,692",2014,0,96.6,113,11680,19,,,2024,1,15
O,강남_9차_아파트,대치동,"90,161",2007,0,55.85,136,11680,31,,,2024,1,6
,강남_4차_아파트,대치동,"66,938",2017,0,72.18,957,11680,19,,,2024,2,20
O,강남_8차_아파트,삼성동,"95,611",2020,0,57.87,435,11680,17,,,2024,2,2
,강남_1차_아파트,역삼동,"49,934",1991,0,80.99,414,11680,7,O,20240303,2024,3,3
,강남_3차_아파트,삼성동,"3,776",2020,107,113.32,325,11680,3,,,2024,3,15
,강남_6차_아파트,대치동,"1,757",2000,67,114.99,627,11680,1,,,2024,3,7
,아이파크,삼성동,"43,765",2011,0,132.06,922,11680,8,,,2024,1,19
X,강남_3차_아파트,역삼동,"90,425",1991,0,98.43,513,11680,28,,,2024,2,19
O,강남_7차_아파트,역삼동,"128,091",1995,0,86.16,743,11680,21,,,2024,2,9
O,강남_3차_아파트,대치동,"149,954",2024,0,78.24,550,11680,20,,,2024,2,24
,강남_7차_아파트,압구정동,"67,643",2023,0,143.28,177,11680,15,,,2024,3,20
O,강남_8차_아파트,삼성동,"3,789",1984,218,83.17,425,11680,11,,,2024,1,8
X,래미안,역삼동,"115,585",1997,0,133.2,815,11680,15,,,2024,3,3
X,강남_9차_아파트,청담동,"3,142",2021,89,84.73,781,11680,45,,,2024,2,1
,강남_8차_아파트,대치동,"119,701",1988,0,132.26,959,11680,3,,,2024,1,5
,강남_5차_아파트,역삼동,"1,431",2014,190,148.46,294,11680,6,,,2024,3,14
,강남_1차_아파트,삼성동,"48,209",2004,0,133.97,235,11680,3,,,2024,2,2
O,강남_3차_아파트,대치동,"31,199",1985,0,100.39,362,11680,2,,,2024,1,22
X,래미안,압구정동,"110,090",1989,0,75.03,616,11680,15,,,2024,2,18
X,강남_8차_아파트,삼성동,"50,004",1993,0,97.51,304,11680,27,,,2024,3,15
O,래미안,삼성동,"1,119",1992,187,68.92,685,11680,32,,,2024,2,13
,타워팰리스,역삼동,"70,849",1994,0,109.26,965,11680,12,,,2024,1,6
O,강남_7차_아파트,청담동,"99,201",2012,0,121.35,242,11680,5,,,2024,3,23
X,강남_5차_아파트,역삼동,"2,697",1992,133,92.14,590,11680,1,,,2024,3,16
X,타워팰리스,압구정동,"133,669",2023,0,99.32,909,11680,38,,,2024,2,13
O,타워팰리스,삼성동,"122,777",1983,0,95.97,897,11680,14,,,2024,2,23
O,강남_3차_아파트,대치동,"130,994",2010,0,99.31,687,11680,11,,,2024,3,16
,강남_4차_아파트,대치동,"1,308",2004,177,67.66,656,11680,34,,,2024,3,5
O,강남_6차_아파트,삼성동,"2,836",1982,222,122.86,141,11680,17,,,2024,3,11
,타워팰리스,역삼동,"60,145",1989,0,147.25,619,11680,19,,,2024,2,27
X,강남_8차_아파트,역삼동,"71,658",2004,0,54.36,699,11680,42,,,2024,1,5
O,아이파크,압구정동,"99,037",1995,0,71.81,625,11680,40,,,2024,3,15
O,강남_2차_아파트,압구정동,"36,655",2017,0,117.59,373,11680,1,,,2024,2,12
,강남_9차_아파트,대치동,"4,855",2012,168,88.19,213,11680,23,,,2024,1,12
O,강남_7차_아파트,역삼동,"35,261",1990,0,96.1,790,11680,42,,,2024,3,26
,강남_1차_아파트,역삼동,"72,622",1998,0,149.79,571,11680,29,,,2024,1,17
O,강남_3차_아파트,압구정동,"89,902",1999,0,110.7,996,11680,8,,,2024,2,25
,래미안,압구정동,"116,521",2016,0,100.82,513,11680,36,,,2024,1,23
X,강남_7차_아파트,대치동,"124,815",1990,0,80.36,851,11680,10,,,2024,2,6
,강남_8차_아파트,압구정동,"2,519",1998,177,80.93,647,11680,43,,,2024,2,12
O,강남_7차_아파트,대치동,"41,552",2022,0,57.99,450,11680,30,O,20240215,2024,2,15
,타워팰리스,역삼동,"2,729",1999,167,77.83,575,11680,17,,,2024,2,23
,타워팰리스,역삼동,"104,529",2006,0,81.39,846,11680,44,,,2024,3,1
O,강남_6차_아파트,삼성동,"148,116",2003,0,86.3,339,11680,28,,,2024,2,2
,강남_5차_아파트,압구정동,"41,309",2020,0,95.22,292,11680,13,,,2024,2,15
X,강남_6차_아파트,삼성동,"78,185",2000,0,145.28,951,11680,29,,,2024,3,9
,강남_9차_아파트,청담동,"117,305",2014,0,120.89,804,11680,2,O,20240201,2024,2,1
X,강남_4차_아파트,대치동,"38,191",1987,0,52.65,673,11680,25,,,2024,2,19
O,강남_9차_아파트,대치동,"56,583",2018,0,52.22,550,11680,16,,,2024,2,20
,강남_4차_아파트,청담동,"4,966",1983,173,135.33,620,11680,11,,,2024,3,7
O,타워팰리스,역삼동,"58,412",2023,0,116.38,916,11680,4,,,2024,1,24
O,강남_8차_아파트,대치동,"76,225",1995,0,105.29,674,11680,8,,,2024,2,21
,강남_2차_아파트,압구정동,"1,131",1997,168,105.47,689,11680,42,,,2024,3,22
,타워팰리스,청담동,"31,523",1996,0,123.22,630,11680,41,,,2024,3,16
X,타워팰리스,대치동,"142,277",1984,0,120.62,189,11680,24,,,2024,1,7
,강남_5차_아파트,삼성동,"3,130",1994,91,134.26,178,11680,36,,,2024,2,11
O,강남_5차_아파트,청담동,"140,192",1994,0,102.55,191,11680,34,,,2024,3,4
,강남_9차_아파트,삼성동,"2,234",1987,143,113.95,447,11680,1,,,2024,2,15
X,강남_2차_아파트,역삼동,"4,318",2013,191,63.52,346,11680,2,,,2024,2,6
,타워팰리스,삼성동,"99,892",1981,0,53.18,661,11680,1,,,2024,2,3
,강남_9차_아파트,청담동,"54,539",2013,0,86.41,712,11680,22,,,2024,2,5
,아이파크,삼성동,"83,161",1992,0,133.81,981,11680,7,,,2024,1,8
X,아이파크,삼성동,"3,286",2003,95,85.14,804,11680,44,,,2024,1,17
,강남_2차_아파트,삼성동,"2,631",2005,203,107.12,344,11680,7,O,20240315,2024,3,15
X,강남_1차_아파트,역삼동,"70,229",2021,0,65.21,734,11680,5,,,2024,1,9
O,강남_2차_아파트,역삼동,"83,912",1982,0,53.11,638,11680,43,,,2024,1,27
X,강남_1차_아파트,대치동,"1,272",1980,288,131.53,252,11680,33,,,2024,1,17
X,강남_4차_아파트,대치동,"70,920",1981,0,146.72,144,11680,18,,,2024,1,21
X,강남_8차_아파트,역삼동,"149,352",2014,0,99.95,575,11680,24,O,20240308,2024,3,8
X,강남_6차_아파트,삼성동,"145,910",2020,0,61.01,848,11680,9,,,2024,1,25
,강남_2차_아파트,역삼동,"60,946",2007,0,110.96,983,11680,2,,,2024,1,25
X,래미안,청담동,"4,013",2008,293,138.35,977,11680,31,,,2024,1,9
X,강남_8차_아파트,청담동,"51,792",1994,0,141.68,648,11680,32,,,2024,2,23
X,강남_6차_아파트,역삼동,"4,481",2021,186,121.29,738,11680,28,,,2024,2,22
O,강남_8차_아파트,역삼동,"2,285",2013,293,118.62,703,11680,18,,,2024,3,1
X,아이파크,압구정동,"130,771",1988,0,94.01,298,11680,6,,,2024,2,9
O,강남_3차_아파트,압구정동,"2,378",1999,98,72.97,735,11680,14,,,2024,1,22
O,래미안,청담동,"97,590",1994,0,119.83,337,11680,18,,,2024,3,9
,강남_6차_아파트,청담동,"93,257",2010,0,120.68,505,11680,2,,,2024,1,17
X,강남_5차_아파트,압구정동,"55,284",2020,0,96.58,540,11680,45,,,2024,3,21
,래미안,역삼동,"112,607",2023,0,76.15,930,11680,29,,,2024,3,3
,강남_8차_아파트,역삼동,"2,396",1981,252,99.37,210,11680,38,,,2024,1,23
,강남_8차_아파트,삼성동,"34,183",1985,0,106.07,168,11680,16,,,2024,2,25
O,강남_5차_아파트,삼성동,"114,074",1999,0,94.06,503,11680,9,,,2024,3,9
X,강남_6차_아파트,청담동,"83,985",2020,0,98.75,261,11680,15,O,20240101,2024,1,1
O,강남_9차_아파트,대치동,"64,015",2000,0,89.42,260,11680,37,,,2024,3,17
,강남_6차_아파트,삼성동,"127,114",2000,0,92.75,595,11680,13,,,2024,3,4
,강남_6차_아파트,청담동,"139,446",2014,0,125.5,286,11680,6,,,2024,2,15
,강남_5차_아파트,역삼동,"3,337",1989,104,68.67,833,11680,34,,,2024,1,8
X,래미안,압구정동,"79,214",2016,0,105.4,392,11680,42,,,2024,2,9
